Date,exchange_rate,kospi,kosdaq,kospi100,dow,nasdaq,sp500,미국채10년-2년
2021-01-04,1086.48,2944.45,977.62,3052.74,30223.89,12698.4,3700.65,0.8009000000000001
2021-01-05,1086.42,2990.57,985.76,3099.42,30391.6,12819.0,3726.86,0.832
2021-01-06,1087.93,2968.21,981.39,3070.05,30829.4,12740.8,3748.14,0.9001999999999999
2021-01-07,1094.28,3031.68,988.86,3139.48,31041.13,13067.5,3803.79,0.9401999999999999
2021-01-08,1092.93,3152.18,987.79,3293.96,31097.97,13202.0,3824.68,0.9821
2021-01-11,1097.23,3148.45,976.63,3302.89,31008.69,13036.4,3799.61,0.9950999999999999
2021-01-12,1094.48,3125.95,973.72,3276.29,31068.69,13072.4,3801.19,0.9821
2021-01-13,1097.12,3148.29,979.13,3298.42,31060.47,13129.0,3809.84,0.9470000000000001
2021-01-14,1095.88,3149.93,980.29,3291.07,30991.52,13112.6,3795.54,0.984
2021-01-15,1103.27,3085.9,964.44,3216.7,30814.26,12998.5,3768.25,0.952
2021-01-18,1102.52,3013.93,944.67,3141.5,,,,0.9630000000000001
2021-01-19,1101.44,3092.66,957.75,3224.32,30930.52,13197.2,3798.91,0.9590000000000001
2021-01-20,1096.35,3114.55,977.66,3244.13,31188.38,13457.2,3851.85,0.948
2021-01-21,1099.88,3160.84,981.4,3291.87,31176.01,13530.9,3853.07,0.984
2021-01-22,1105.41,3140.63,979.98,3266.1,30996.98,13543.1,3841.47,0.9610000000000001
2021-01-25,1102.58,3208.99,999.3,3345.45,30960.0,13636.0,3855.36,0.9120999999999999
2021-01-26,1101.02,3140.31,994.0,3262.16,30937.04,13626.1,3849.62,0.9099999999999999
2021-01-27,1108.38,3122.56,985.92,3239.91,30303.17,13270.6,3750.77,0.8938999999999999
2021-01-28,1112.52,3069.05,961.23,3186.63,30603.36,13337.2,3787.38,0.9309000000000001
2021-01-29,1117.64,2976.21,928.73,3096.25,29982.62,13070.7,3714.24,0.9597
2021-02-01,1116.51,3056.53,956.92,3180.86,30211.91,13403.4,3773.86,0.9677
2021-02-02,1115.37,3096.81,963.81,3223.45,30687.48,13612.8,3826.31,0.9818
2021-02-03,1113.46,3129.68,970.69,3256.03,30723.6,13610.5,3830.17,1.0199
2021-02-04,1120.0,3087.55,964.58,3202.94,31055.86,13777.7,3871.74,1.0228
2021-02-05,1116.77,3120.63,967.42,3241.93,31148.24,13856.3,3886.83,1.0638
2021-02-08,1115.61,3091.24,960.78,3205.22,31385.76,13987.6,3915.59,1.0629
2021-02-09,1110.88,3084.67,957.85,3197.2,31375.83,14007.7,3911.23,1.0429
2021-02-10,1105.48,3100.58,964.31,3210.77,31437.8,13972.5,3909.88,1.0129000000000001
2021-02-11,1102.12,,,,31430.7,14025.8,3916.38,1.0559
2021-02-12,1102.59,,,,31458.4,14095.5,3934.83,1.099
2021-02-15,1101.31,3147.0,981.97,3267.65,,,,1.135
2021-02-16,1106.58,3163.25,977.74,3285.41,31522.75,14047.5,3932.59,1.188
2021-02-17,1105.61,3133.73,979.77,3246.39,31613.02,13965.5,3931.33,1.1731
2021-02-18,1106.96,3086.66,967.42,3192.19,31493.34,13865.4,3913.97,1.1881
2021-02-19,1104.27,3107.62,965.11,3220.75,31494.32,13874.5,3906.71,1.2312
2021-02-22,1111.59,3079.75,954.29,3187.58,31521.69,13533.0,3876.5,1.2541
2021-02-23,1110.13,3070.09,936.6,3180.78,31537.35,13465.2,3881.37,1.2321
2021-02-24,1107.27,2994.98,906.31,3115.64,31961.86,13598.0,3925.43,1.247
2021-02-25,1118.77,3099.69,936.21,3233.69,31402.01,13119.4,3829.34,1.3521
2021-02-26,1123.89,3012.95,913.94,3132.45,30932.37,13192.3,3811.15,1.2781
2021-03-01,1113.33,,,,31535.51,13588.8,3901.82,1.3049
2021-03-02,1125.01,3043.87,923.17,3173.48,31391.52,13358.8,3870.29,1.275
2021-03-03,1126.05,3082.99,930.8,3215.74,31270.09,12997.8,3819.72,1.3413
2021-03-04,1130.87,3043.49,926.2,3168.31,30924.14,12723.5,3768.47,1.4102999999999999
2021-03-05,1128.0,3026.26,923.48,3150.15,31496.3,12920.1,3841.94,1.4362
2021-03-08,1140.83,2996.11,904.77,3123.59,31802.44,12609.2,3821.35,1.4384
2021-03-09,1134.91,2976.12,896.36,3105.94,31832.74,13073.8,3875.44,1.3653
2021-03-10,1135.91,2958.12,890.07,3087.73,32297.02,13068.8,3898.81,1.3661999999999999
2021-03-11,1130.35,3013.7,908.01,3147.7,32485.59,13398.7,3939.34,1.3921
2021-03-12,1136.0,3054.39,925.49,3183.99,32778.64,13319.9,3943.34,1.476
2021-03-15,1132.35,3045.71,926.9,3168.59,32953.46,13459.7,3968.94,1.454
2021-03-16,1129.0,3067.17,940.65,3189.89,32825.95,13471.6,3962.71,1.47
2021-03-17,1121.21,3047.5,943.78,3161.06,33015.37,13525.2,3974.12,1.509
2021-03-18,1127.75,3066.01,949.83,3185.95,32862.3,13116.2,3915.46,1.5489
2021-03-19,1129.12,3039.53,952.11,3152.27,32627.97,13215.2,3913.1,1.5768
2021-03-22,1126.0,3035.46,955.38,3146.76,32731.2,13377.5,3940.59,1.5437
2021-03-23,1132.9,3004.74,946.31,3115.47,32423.15,13227.7,3910.52,1.4747000000000001
2021-03-24,1134.9,2996.35,953.82,3102.52,32420.06,12961.9,3889.14,1.4636
2021-03-25,1135.12,3008.33,954.99,3112.66,32619.48,12977.7,3909.52,1.4943
2021-03-26,1128.52,3041.01,956.7,3142.5,33072.88,13138.7,3974.54,1.5333999999999999
2021-03-29,1131.56,3036.04,954.1,3136.43,33171.37,13059.6,3971.09,1.5744
2021-03-30,1132.59,3070.0,958.06,3175.82,33066.96,13045.4,3958.55,1.5614999999999999
2021-03-31,1127.17,3061.42,956.17,3162.1,32981.55,13246.9,3972.89,1.5817999999999999
2021-04-01,1128.72,3087.4,965.78,3198.82,33153.21,13480.1,4019.87,1.5106000000000002
2021-04-02,1128.64,3112.8,970.09,3232.7,,,,1.5110000000000001
2021-04-05,1124.18,3120.83,969.77,3239.74,33527.19,13705.6,4077.91,1.5366
2021-04-06,1119.17,3127.08,968.63,3248.43,33430.24,13698.4,4073.94,1.4954999999999998
2021-04-07,1119.03,3137.41,973.22,3253.9,33446.26,13688.8,4079.95,1.5243
2021-04-08,1115.83,3143.26,982.02,3254.33,33503.57,13829.3,4097.17,1.4751999999999998
2021-04-09,1120.98,3131.88,989.39,3233.01,33800.6,13900.2,4128.8,1.5031999999999999
2021-04-12,1124.32,3135.59,1000.65,3232.14,33745.4,13850.0,4127.99,1.5002
2021-04-13,1121.37,3169.08,1010.37,3271.02,33677.27,13996.1,4141.59,1.4591
2021-04-14,1116.08,3182.38,1014.42,3282.34,33730.89,13857.8,4124.66,1.4709999999999999
2021-04-15,1116.68,3194.33,1013.9,3298.82,34035.99,14038.8,4170.42,1.413
2021-04-16,1116.5,3198.62,1021.62,3294.79,34200.67,14052.3,4185.47,1.4268
2021-04-19,1115.33,3198.84,1029.46,3288.86,34077.63,13914.8,4163.26,1.4488
2021-04-20,1117.28,3220.7,1031.88,3307.13,33821.3,13786.3,4134.94,1.4128
2021-04-21,1116.35,3171.66,1022.22,3245.59,34137.31,13950.2,4173.42,1.4098
2021-04-22,1118.79,3177.52,1025.71,3247.13,33815.9,13818.4,4134.98,1.3907
2021-04-23,1114.72,3186.1,1026.82,3255.21,34043.49,14016.8,4180.17,1.3995
2021-04-26,1110.27,3217.53,1030.06,3284.74,33981.57,14138.8,4187.62,1.3983
2021-04-27,1113.33,3215.42,1021.01,3282.66,33984.93,14090.2,4186.72,1.4432
2021-04-28,1109.88,3181.47,998.27,3246.35,33820.38,14051.0,4183.18,1.4449
2021-04-29,1107.63,3174.07,990.69,3236.62,34060.36,14082.5,4211.47,1.4769
2021-04-30,1117.16,3147.86,983.45,3205.36,33874.85,13962.7,4181.17,1.4636999999999998
2021-05-03,1120.34,3127.2,961.81,3195.59,34113.23,13895.1,4192.66,1.4365999999999999
2021-05-04,1125.77,3147.37,967.2,3223.34,34133.03,13633.5,4164.66,1.4285999999999999
2021-05-05,1124.72,,,,34230.34,13582.4,4167.59,1.4163999999999999
2021-05-06,1120.28,3178.74,969.99,3240.85,34548.53,13632.8,4201.62,1.4134
2021-05-07,1111.23,3197.2,978.3,3252.03,34777.76,13752.2,4232.6,1.4322
2021-05-10,1116.68,3249.3,992.8,3302.38,34742.82,13401.9,4188.43,1.4492
2021-05-11,1119.58,3209.43,978.61,3246.6,34269.16,13389.4,4152.1,1.4612
2021-05-12,1132.73,3161.66,967.1,3189.95,33587.66,13031.7,4063.04,1.5262
2021-05-13,1126.73,3122.11,951.77,3149.17,34021.45,13125.0,4112.5,1.5021
2021-05-14,1125.79,3153.32,966.72,3182.18,34382.13,13430.0,4173.85,1.486
2021-05-17,1136.73,3134.52,962.5,3169.75,34327.79,13379.0,4163.29,1.4969
2021-05-18,1126.93,3173.05,969.1,3206.45,34060.66,13303.6,4127.83,1.4889
2021-05-19,1131.18,,,,33896.04,13299.7,4115.68,1.5168
2021-05-20,1127.66,3162.28,971.13,3193.25,34084.15,13535.7,4159.12,1.4808
2021-05-21,1127.63,3156.42,965.63,3197.0,34207.84,13471.0,4155.86,1.4677
2021-05-24,1123.48,3144.3,948.37,3184.78,34393.98,13661.2,4197.05,1.4517
2021-05-25,1122.36,3171.32,962.07,3212.27,34312.46,13657.2,4188.13,1.4147
2021-05-26,1116.61,3168.43,966.06,3202.75,34323.05,13738.0,4195.99,1.4324999999999999
2021-05-27,1118.55,3165.51,974.08,3196.01,34464.64,13736.3,4200.88,1.4594
2021-05-28,1113.08,3188.73,977.46,3219.2,34529.45,13748.7,4204.11,1.4404
2021-05-31,1106.58,3203.92,981.78,3235.01,,,,1.4654
2021-06-01,1108.38,3221.87,984.59,3253.69,34575.31,13736.5,4202.04,1.4574
2021-06-02,1110.92,3224.23,981.1,3249.1,34600.38,13756.3,4208.12,1.4424
2021-06-03,1116.46,3247.43,990.19,3278.28,34577.04,13614.5,4192.85,1.4666
2021-06-04,1110.52,3240.08,987.58,3264.07,34756.39,13814.5,4229.89,1.4082999999999999
2021-06-07,1110.62,3252.12,985.86,3268.83,34630.24,13881.7,4226.52,1.4122999999999999
2021-06-08,1117.72,3247.83,986.12,3269.21,34599.82,13924.9,4227.26,1.3833
2021-06-09,1115.61,3216.18,978.79,3232.68,34447.14,13911.8,4219.55,1.3353
2021-06-10,1112.32,3224.64,987.77,3245.84,34466.24,14020.3,4239.18,1.2901
2021-06-11,1116.4,3249.32,991.13,3273.49,34479.6,14069.4,4247.44,1.305
2021-06-14,1116.33,3252.13,997.41,3278.18,34393.75,14174.1,4255.15,1.336
2021-06-15,1117.09,3258.63,997.37,3285.86,34299.33,14072.9,4246.59,1.324
2021-06-16,1132.68,3278.68,998.49,3306.42,34033.67,14039.7,4223.7,1.3738
2021-06-17,1134.3,3264.96,1003.72,3290.19,33823.45,14161.3,4221.86,1.2976999999999999
2021-06-18,1134.94,3267.93,1015.88,3291.75,33290.08,14030.4,4166.45,1.1909
2021-06-21,1131.4,3240.79,1010.99,3266.96,33876.97,14141.5,4224.79,1.2407000000000001
2021-06-22,1133.57,3263.88,1011.56,3286.53,33945.58,14253.3,4246.44,1.2369
2021-06-23,1135.85,3276.19,1016.46,3307.89,33874.24,14271.7,4241.84,1.2209
2021-06-24,1130.78,3286.1,1012.62,3320.02,34196.82,14369.7,4266.49,1.229
2021-06-25,1127.12,3302.84,1012.13,3333.1,34433.84,14360.4,4280.7,1.2559
2021-06-28,1130.04,3301.89,1017.91,3328.51,34283.27,14500.5,4290.61,1.2257
2021-06-29,1131.62,3286.68,1022.52,3308.27,34292.29,14528.3,4291.8,1.2226000000000001
2021-06-30,1130.48,3296.68,1029.96,3319.53,34502.51,14504.0,4297.5,1.2155
2021-07-01,1134.33,3282.06,1035.64,3299.77,34633.53,14522.4,4319.94,1.2043000000000001
2021-07-02,1130.53,3281.78,1038.18,3296.47,34786.35,14639.3,4352.34,1.1934
2021-07-05,1130.42,3293.21,1047.33,3309.5,,,,1.2024
2021-07-06,1136.75,3305.21,1044.96,3323.2,34577.37,14663.6,4343.54,1.1321
2021-07-07,1141.5,3285.34,1047.36,3304.6,34681.79,14665.1,4358.13,1.1049
2021-07-08,1146.59,3252.68,1034.48,3274.78,34421.93,14559.8,4320.82,1.0977000000000001
2021-07-09,1143.73,3217.95,1028.93,3237.57,34870.16,14701.9,4369.55,1.1463999999999999
2021-07-12,1146.85,3246.47,1034.64,3263.34,34996.18,14733.2,4384.63,1.1413000000000002
2021-07-13,1149.94,3271.38,1043.31,3290.05,34888.79,14677.7,4369.21,1.1631999999999998
2021-07-14,1144.22,3264.81,1044.98,3281.05,34933.23,14645.0,4374.3,1.1239999999999999
2021-07-15,1141.59,3286.22,1054.31,3302.38,34987.02,14543.1,4360.03,1.0738999999999999
2021-07-16,1141.51,3276.91,1051.98,3289.26,34687.85,14427.2,4327.16,1.0725
2021-07-19,1150.83,3244.04,1049.83,3250.96,33962.04,14275.0,4258.63,0.9814
2021-07-20,1147.47,3232.7,1043.64,3240.39,34511.99,14498.9,4323.21,1.0204
2021-07-21,1149.31,3215.91,1042.03,3218.51,34798.0,14632.0,4358.69,1.0822
2021-07-22,1150.55,3250.21,1050.25,3259.28,34823.35,14684.6,4367.48,1.0752
2021-07-23,1151.52,3254.42,1055.5,3261.35,35061.55,14837.0,4411.8,1.0809
2021-07-26,1152.54,3224.95,1047.63,3230.11,35144.31,14840.7,4422.23,1.0989
2021-07-27,1154.25,3232.53,1046.55,3236.05,35058.52,14660.6,4401.46,1.0315
2021-07-28,1150.27,3236.86,1035.68,3243.7,34930.93,14762.6,4400.65,1.0345
2021-07-29,1143.12,3242.65,1044.13,3244.64,35084.53,14778.3,4419.15,1.0625
2021-07-30,1151.41,3202.32,1031.14,3199.74,34935.47,14672.7,4395.26,1.0382
2021-08-02,1150.18,3223.04,1037.8,3224.26,34838.16,14681.1,4387.11,1.0048000000000001
2021-08-03,1148.44,3237.14,1036.11,3249.1,35116.4,14761.3,4423.15,1.0018
2021-08-04,1144.76,3280.38,1047.93,3294.21,34792.67,14780.5,4402.68,0.9977999999999999
2021-08-05,1142.59,3276.13,1059.54,3283.85,35064.25,14895.1,4429.1,1.0230000000000001
2021-08-06,1144.93,3270.36,1059.8,3272.24,35208.51,14835.8,4436.52,1.0928
2021-08-09,1146.89,3260.42,1060.0,3261.14,35101.85,14860.2,4432.35,1.1027
2021-08-10,1152.7,3243.19,1052.07,3238.03,35264.67,14788.1,4436.75,1.1156000000000001
2021-08-11,1153.98,3220.62,1051.92,3210.15,35484.97,14765.1,4447.7,1.1144
2021-08-12,1162.98,3208.38,1054.09,3191.32,35499.85,14816.3,4460.84,1.1362999999999999
2021-08-13,1161.37,3171.29,1040.78,3145.8,35515.38,14822.9,4468.0,1.0738999999999999
2021-08-16,1165.28,,,,35625.4,14793.8,4479.66,1.0548
2021-08-17,1177.3,3143.09,1011.05,3113.03,35343.28,14656.2,4448.08,1.0496999999999999
2021-08-18,1170.03,3158.93,1021.08,3128.2,34960.69,14525.9,4400.27,1.0425
2021-08-19,1176.28,3097.83,991.15,3067.39,34894.12,14541.8,4405.8,1.0214
2021-08-20,1175.15,3060.51,967.9,3037.15,35120.08,14714.7,4441.67,1.0289
2021-08-23,1169.36,3090.21,993.18,3064.35,35335.71,14942.7,4479.54,1.0268
2021-08-24,1163.65,3138.3,1013.18,3120.69,35366.26,15019.8,4486.23,1.0727
2021-08-25,1163.87,3146.81,1017.78,3129.45,35405.5,15041.9,4496.19,1.1084
2021-08-26,1170.53,3128.53,1020.44,3101.07,35213.12,14945.8,4469.91,1.1114000000000002
2021-08-27,1161.23,3133.9,1023.51,3097.95,35455.8,15129.5,4509.37,1.091
2021-08-30,1164.34,3144.19,1031.84,3105.35,35399.84,15265.9,4528.79,1.0767
2021-08-31,1158.73,3199.27,1038.33,3169.86,35360.73,15259.2,4522.68,1.0957
2021-09-01,1155.47,3207.02,1045.98,3170.17,35312.53,15309.4,4524.09,1.0876
2021-09-02,1158.05,3175.85,1047.19,3138.57,35443.82,15331.2,4536.95,1.0754
2021-09-03,1154.28,3201.06,1053.85,3165.32,35369.09,15363.5,4535.43,1.1179000000000001
2021-09-06,1157.04,3203.33,1052.96,3171.09,,,,1.1319000000000001
2021-09-07,1161.98,3187.42,1054.43,3150.29,35100.0,15374.3,4520.03,1.155
2021-09-08,1166.54,3162.99,1037.22,3122.29,35031.07,15286.6,4514.07,1.1178000000000001
2021-09-09,1169.64,3114.7,1034.62,3065.68,34879.38,15248.3,4493.28,1.0826
2021-09-10,1170.23,3125.76,1037.91,3075.1,34607.72,15115.5,4458.58,1.1282999999999999
2021-09-13,1172.83,3127.86,1026.34,3081.24,34869.63,15105.6,4468.73,1.1131
2021-09-14,1172.23,3148.83,1037.74,3100.34,34577.57,15037.8,4443.05,1.075
2021-09-15,1166.23,3153.4,1042.79,3103.33,34814.39,15161.5,4480.7,1.0909
2021-09-16,1175.19,3130.09,1039.43,3073.71,34751.32,15181.9,4473.76,1.1147
2021-09-17,1180.69,3140.51,1046.12,3088.58,34584.88,15044.0,4432.99,1.1373
2021-09-20,1185.67,,,,33970.8,14713.9,4357.73,1.0962
2021-09-21,1183.96,,,,33922.54,14746.4,4354.18,1.1101
2021-09-22,1181.75,,,,34258.51,14896.8,4395.64,1.0637
2021-09-23,1174.63,3127.58,1036.26,3084.54,34766.0,15052.2,4448.98,1.1742000000000001
2021-09-24,1179.68,3125.24,1037.03,3079.73,34797.6,15047.7,4455.48,1.1815
2021-09-27,1177.94,3133.64,1034.82,3086.66,34870.16,14970.0,4443.11,1.2111
2021-09-28,1187.16,3097.92,1012.51,3050.05,34299.53,14546.7,4352.63,1.2411
2021-09-29,1187.11,3060.27,1001.46,3003.98,34390.92,14512.4,4359.46,1.2309
2021-09-30,1184.23,3068.82,1003.27,3017.17,33843.33,14448.6,4307.54,1.2106
2021-10-01,1180.35,3019.18,983.2,2968.7,34327.45,14566.7,4357.05,1.1993
2021-10-04,1184.12,,,,34003.58,14255.5,4300.46,1.2014
2021-10-05,1186.48,2962.17,955.37,2914.05,34315.99,14433.8,4345.72,1.2424
2021-10-06,1190.21,2908.31,922.36,2873.68,34417.98,14501.9,4363.55,1.2305000000000001
2021-10-07,1190.88,2959.46,953.43,2920.96,34754.15,14654.0,4399.76,1.2665000000000002
2021-10-08,1196.79,2956.3,953.11,2914.79,34746.71,14579.5,4391.36,1.2922000000000002
2021-10-11,1195.3,,,,34496.85,14486.2,4361.19,1.2742999999999998
2021-10-12,1197.29,2916.38,940.15,2863.46,34378.08,14465.9,4350.64,1.2301000000000002
2021-10-13,1186.18,2944.41,953.47,2888.46,34378.6,14571.6,4363.8,1.182
2021-10-14,1181.69,2988.64,983.43,2930.29,34911.7,14823.4,4438.23,1.1518
2021-10-15,1182.07,3015.06,990.54,2957.37,35295.48,14897.3,4471.37,1.1791
2021-10-18,1185.47,3006.68,993.86,2947.54,35259.01,15021.8,4486.48,1.1697
2021-10-19,1175.13,3029.04,1005.35,2975.17,35458.37,15129.1,4519.63,1.2416
2021-10-20,1175.63,3013.13,1001.62,2964.89,35609.93,15121.7,4536.19,1.2726
2021-10-21,1177.78,3007.33,993.7,2961.04,35601.96,15215.7,4549.78,1.2435
2021-10-22,1177.48,3006.16,995.07,2963.01,35677.68,15090.2,4544.9,1.1784999999999999
2021-10-25,1168.02,3020.54,994.31,2974.41,35743.78,15226.7,4566.48,1.1977
2021-10-26,1167.95,3049.08,1011.76,3006.13,35755.83,15235.7,4574.79,1.1622000000000001
2021-10-27,1172.05,3025.49,1008.95,2979.11,35491.48,15235.8,4551.68,1.0471
2021-10-28,1168.44,3009.55,1000.13,2969.25,35729.89,15448.1,4596.42,1.0889000000000002
2021-10-29,1174.47,2970.68,992.33,2926.41,35819.59,15498.4,4605.38,1.06
2021-11-01,1177.45,2978.94,998.57,2939.28,35913.68,15595.9,4613.67,1.0598999999999998
2021-11-02,1178.48,3013.49,1009.44,2976.43,36053.09,15649.6,4630.65,1.099
2021-11-03,1178.78,2975.71,1005.0,2934.91,36157.02,15811.6,4660.57,1.1273
2021-11-04,1185.75,2983.22,1001.43,2952.31,36124.66,15940.3,4680.06,1.1036000000000001
2021-11-05,1181.05,2969.27,1001.35,2941.65,36329.07,15971.6,4697.53,1.0502
2021-11-08,1180.84,2960.2,1002.5,2936.34,36431.39,15982.4,4701.7,1.0464000000000002
2021-11-09,1178.4,2962.46,1008.68,2942.17,36320.5,15886.5,4685.25,1.0163
2021-11-10,1185.04,2930.17,987.75,2914.04,36079.54,15622.7,4646.71,1.0511
2021-11-11,1182.39,2924.92,992.65,2914.76,35921.24,15704.3,4649.27,1.0371000000000001
2021-11-12,1179.2,2968.8,1009.07,2946.04,36100.37,15861.0,4682.85,1.0525000000000002
2021-11-15,1183.42,2999.52,1029.03,2976.59,36087.98,15853.8,4682.81,1.0983
2021-11-16,1183.85,2997.21,1035.46,2974.63,36144.13,15973.9,4700.9,1.1179999999999999
2021-11-17,1180.46,2962.42,1031.26,2940.09,35931.52,15921.6,4688.67,1.0871
2021-11-18,1182.37,2947.38,1032.77,2923.44,35871.34,15993.7,4706.64,1.0849
2021-11-19,1187.1,2971.02,1041.92,2947.62,35602.18,16057.4,4697.96,1.0352000000000001
